month,avg_close,monthly_low,monthly_high,total_volume
1989-01,4.43,4.19,4.69,23549000
1989-02,4.42,4.06,4.81,12494200
1989-03,4.16,4,4.38,8954400
1989-04,4.45,4.13,4.69,9246000
1989-05,4.56,4.25,5.25,18417400
1989-06,5.02,4.81,5.19,15983600
1989-07,4.66,4.06,5.06,12169400
1989-08,4.28,4.13,4.56,6993400
1989-09,4.29,4.13,4.63,9522800
1989-10,4.18,3.75,4.5,9599600
1989-11,3.77,3.56,4,7268200
1989-12,3.87,3.69,4.06,12496200
1990-01,3.8,3.56,4.13,16370400
1990-02,3.71,3.44,4.38,12515200
1990-03,4.62,4.13,5.06,22295600
1990-04,4.38,4.06,4.75,12156600
1990-05,4.93,4.13,5.69,34041800
1990-06,4.79,4.44,5.38,24349800
1990-07,4.27,3.38,4.88,17514600
1990-08,2.86,2.44,3.5,26597000
1990-09,2.83,2.44,3.25,11073400
1990-10,2.14,1.81,2.88,16339400
1990-11,2.06,1.88,2.44,11700000
1990-12,2.44,2.13,2.69,18411800
1991-01,2.88,2,3.75,33820400
1991-02,3.96,3.56,4.13,33392000
1991-03,5.03,3.94,5.88,59351000
1991-04,6.18,5,7.13,64158600
1991-05,6.11,5.25,6.88,37448000
1991-06,6.32,5.69,7.06,26617400
1991-07,5.76,5.06,6.81,38702800
1991-08,5.72,5.06,6.31,43345400
1991-09,5.47,4.31,6.25,26168400
1991-10,5.18,4.19,6.5,55386000
1991-11,6.6,5.88,7.31,54461400
1991-12,7.93,6.94,8.88,52926600
1992-01,9.78,8.69,10.69,97462400
1992-02,9.85,8.94,10.75,56985800
1992-03,9.01,8.13,9.81,41691200
1992-04,8.41,7.31,9.75,48861200
1992-05,8.21,7.38,9.25,40030200
1992-06,6.33,4.25,8,56522800
1992-07,4.22,3.69,4.5,45216200
1992-08,4.61,4.19,5.06,27352600
1992-09,5.86,5.06,6.5,39491600
1992-10,6.7,5.31,8.38,65815800
1992-11,8.4,7.56,9.31,38466200
1992-12,8.75,7.5,9.38,50736400
1993-01,9.81,8.81,10.75,52435400
1993-02,10.36,9.25,11.25,48130200
1993-03,11.49,10.44,12.25,34348200
1993-04,13.23,10.56,16.44,74724600
1993-05,14.56,13.63,15.38,36925000
1993-06,11.56,10.19,14.63,71452800
1993-07,12.12,11.38,12.88,28584600
1993-08,14.83,12.13,16.31,47712800
1993-09,14.46,13,16.13,50158600
1993-10,10.35,8.94,13.38,81051800
1993-11,9.61,8.94,10.25,35572000
1993-12,8.94,8.5,9.69,30406400
1994-01,9.54,8.38,10.69,42992400
1994-02,10.68,10.06,11.25,25643400
1994-03,13.75,10.63,15.88,107034800
1994-04,13.23,11.38,15.88,50297200
1994-05,12.66,11.31,13.63,32379600
1994-06,13.22,11.88,14.81,35807200
1994-07,12.94,12.06,13.69,26277800
1994-08,14.09,13,14.94,25940800
1994-09,14.49,13.69,15.5,32271200
1994-10,12.26,11.13,15.19,83515000
